client_id,age,job,marital,education,credit_default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
78,39,admin.,unknown,unknown,unknown,unknown,yes,telephone,may,17,539,9,410,981,failure,-2,94,-39,1,5753,yes
79,91,blue-collar,single,basic.4y,unknown,unknown,yes,telephone,may,10,211,2,88,712,failure,1,94,-48,4,5370,no
80,29,unemployed,unknown,basic.4y,no,unknown,no,telephone,mar,4,123,1,309,956,nonexistent,2,93,-38,4,5073,no
81,19,unknown,married,basic.9y,no,no,yes,telephone,sep,14,386,5,483,801,failure,-1,94,-37,3,5244,no
82,77,admin.,married,basic.9y,yes,no,unknown,cellular,may,13,468,6,330,566,nonexistent,-2,93,-42,1,5357,no
83,30,unknown,unknown,basic.9y,no,unknown,no,telephone,sep,20,525,6,701,117,failure,2,93,-35,0,5069,yes
84,61,unemployed,married,basic.9y,no,yes,yes,telephone,may,5,343,8,412,397,success,-3,94,-36,3,5073,yes
85,54,unknown,single,basic.4y,yes,yes,no,cellular,mar,13,624,1,943,58,failure,-3,93,-45,0,5219,no
86,78,blue-collar,unknown,basic.9y,no,yes,yes,cellular,sep,25,3,4,970,410,success,2,92,-41,3,5085,no
87,64,admin.,unknown,unknown,unknown,no,yes,telephone,sep,26,17,1,814,990,success,-3,94,-33,4,5954,yes
88,36,unemployed,married,basic.9y,unknown,yes,unknown,cellular,mar,3,658,1,90,262,nonexistent,-3,92,-43,4,5477,yes
89,43,admin.,married,basic.4y,unknown,no,unknown,cellular,may,4,907,3,220,387,success,-3,93,-31,2,5177,yes
90,88,unknown,married,basic.9y,unknown,yes,yes,telephone,may,25,845,4,367,336,nonexistent,-3,94,-39,1,5822,yes
91,50,admin.,unknown,unknown,no,unknown,no,telephone,mar,3,785,1,689,200,failure,-3,94,-48,4,5184,no
92,33,unemployed,single,unknown,unknown,unknown,unknown,cellular,may,11,618,3,285,162,failure,-1,94,-45,1,5174,yes
93,73,unknown,married,basic.4y,unknown,unknown,no,cellular,may,11,911,9,703,60,nonexistent,-3,92,-37,3,5046,yes
94,71,unemployed,single,basic.9y,unknown,yes,unknown,cellular,sep,8,373,4,655,399,nonexistent,-1,94,-43,2,5948,no
95,60,blue-collar,married,basic.4y,unknown,no,no,cellular,mar,8,144,1,213,431,nonexistent,-1,92,-50,4,5418,no
96,37,unknown,unknown,basic.4y,yes,yes,no,telephone,mar,1,354,3,214,881,failure,-3,94,-48,1,5973,no
97,20,blue-collar,single,basic.9y,yes,no,yes,telephone,may,1,907,5,685,124,nonexistent,0,94,-31,4,5436,no
98,69,unknown,single,basic.9y,yes,unknown,no,cellular,may,7,653,1,214,556,failure,-3,93,-47,2,5530,yes
99,56,blue-collar,unknown,unknown,yes,yes,unknown,cellular,may,30,729,6,337,592,nonexistent,-2,92,-50,1,5540,yes
100,84,unknown,single,basic.9y,yes,unknown,unknown,telephone,sep,12,718,4,226,798,success,2,92,-42,1,5316,yes
101,75,unknown,married,basic.4y,unknown,unknown,unknown,cellular,mar,23,289,5,431,359,success,2,92,-44,1,5436,no
102,36,unemployed,single,basic.9y,unknown,yes,yes,cellular,sep,3,315,1,129,854,success,-1,94,-43,2,5261,yes
103,64,blue-collar,married,unknown,unknown,no,no,telephone,sep,21,840,5,763,658,success,-2,94,-39,3,5707,no
104,70,unknown,married,basic.4y,unknown,yes,no,cellular,mar,14,750,9,475,181,success,-3,92,-42,4,5524,no
105,44,admin.,married,basic.4y,no,unknown,no,cellular,may,3,153,3,418,453,failure,-3,94,-47,0,5784,no
106,68,unemployed,unknown,unknown,unknown,no,no,telephone,mar,16,681,6,608,84,nonexistent,-3,94,-50,3,5450,yes
107,40,unemployed,single,basic.9y,yes,unknown,yes,cellular,may,25,102,5,526,224,nonexistent,-1,92,-38,3,5224,no
108,52,unknown,unknown,unknown,yes,no,no,telephone,mar,14,671,6,48,716,success,0,93,-32,0,5643,no
109,23,admin.,married,basic.9y,no,unknown,no,telephone,sep,7,602,2,404,178,success,-2,92,-47,3,5114,no
110,32,unknown,unknown,basic.9y,unknown,no,no,cellular,sep,4,409,2,195,724,nonexistent,-2,93,-40,1,5533,no
111,91,unemployed,married,unknown,no,yes,yes,cellular,may,13,884,7,964,775,success,-2,94,-43,3,5372,yes
112,93,admin.,married,basic.4y,no,no,no,telephone,may,5,712,9,878,844,success,0,92,-37,2,5271,yes
113,52,unemployed,single,basic.9y,yes,no,unknown,telephone,sep,16,422,5,83,501,failure,0,92,-35,3,5805,no
114,92,blue-collar,unknown,basic.9y,unknown,unknown,unknown,cellular,mar,18,363,7,154,634,failure,-3,94,-42,4,5014,no
115,55,blue-collar,married,unknown,unknown,yes,unknown,cellular,sep,17,487,8,52,216,nonexistent,1,92,-44,4,5696,no
116,34,admin.,unknown,basic.4y,no,unknown,no,cellular,sep,17,10,1,61,252,failure,-2,94,-38,3,5249,no
117,70,blue-collar,unknown,basic.4y,no,yes,no,telephone,sep,20,841,2,871,679,nonexistent,0,93,-43,0,5699,no
118,24,blue-collar,unknown,unknown,no,no,yes,telephone,may,21,57,5,401,719,nonexistent,-2,92,-37,1,5155,no
119,40,unknown,single,basic.4y,no,yes,yes,cellular,may,25,640,1,637,555,success,-2,94,-49,1,5174,no
120,65,unknown,married,basic.4y,yes,unknown,yes,telephone,may,2,880,5,552,748,success,2,94,-33,1,5350,no
121,25,unemployed,unknown,basic.9y,unknown,yes,unknown,telephone,may,30,805,4,637,365,nonexistent,-1,92,-32,2,5613,yes
122,51,admin.,married,basic.4y,no,no,yes,telephone,mar,21,820,2,1,978,failure,-3,92,-32,1,5780,yes
123,84,blue-collar,unknown,basic.4y,yes,no,unknown,cellular,mar,2,147,3,603,980,success,0,93,-38,0,5017,no
124,66,admin.,married,basic.9y,unknown,yes,unknown,telephone,mar,12,903,6,433,804,nonexistent,1,92,-40,3,5072,no
125,93,blue-collar,unknown,basic.9y,unknown,unknown,yes,telephone,mar,17,723,8,545,33,failure,-1,92,-36,0,5547,yes
126,36,admin.,married,basic.4y,unknown,unknown,yes,telephone,sep,17,427,9,913,978,nonexistent,-3,94,-31,1,5619,no
127,37,blue-collar,married,unknown,yes,no,no,telephone,sep,26,514,3,981,28,failure,0,92,-46,1,5956,no
128,95,admin.,single,basic.9y,unknown,unknown,no,telephone,mar,3,666,8,0,96,nonexistent,1,92,-49,3,5686,yes
129,98,blue-collar,married,unknown,no,yes,unknown,cellular,may,5,657,7,18,441,failure,-3,93,-35,0,5977,yes
130,35,admin.,single,unknown,yes,yes,no,cellular,may,18,246,2,672,16,nonexistent,-1,92,-35,3,5589,yes
131,77,admin.,married,basic.4y,no,no,unknown,cellular,sep,26,798,3,192,890,failure,0,92,-33,4,5585,no
132,28,unemployed,single,basic.4y,no,no,no,telephone,may,13,739,7,832,935,failure,0,92,-39,3,5951,yes
133,69,admin.,married,basic.4y,unknown,yes,yes,telephone,mar,20,930,1,124,555,nonexistent,-3,92,-46,3,5261,no
134,33,unemployed,married,unknown,yes,unknown,unknown,telephone,may,8,314,1,729,911,nonexistent,-1,93,-49,2,5708,no
135,35,blue-collar,married,basic.9y,no,no,yes,telephone,may,8,56,6,859,916,success,1,93,-49,3,5863,yes
136,24,unknown,unknown,unknown,no,yes,yes,telephone,mar,29,590,3,759,329,nonexistent,-2,94,-40,3,5149,no
137,97,unemployed,unknown,unknown,unknown,unknown,no,telephone,mar,2,959,4,240,274,nonexistent,-1,92,-46,1,5829,no
138,74,unemployed,married,basic.4y,no,yes,unknown,telephone,may,28,286,4,11,651,nonexistent,-1,92,-37,2,5203,yes
139,44,blue-collar,married,unknown,yes,unknown,unknown,cellular,may,24,225,6,749,980,failure,0,94,-50,4,5503,yes
140,37,unemployed,single,basic.9y,unknown,yes,yes,telephone,mar,30,64,3,202,255,failure,-1,94,-44,3,5886,no
141,29,unknown,single,basic.4y,no,unknown,yes,cellular,sep,19,300,5,188,813,success,-1,93,-48,3,5149,no
142,57,unemployed,unknown,unknown,no,yes,no,telephone,mar,10,710,3,486,467,success,0,93,-44,3,5600,yes
143,61,blue-collar,married,basic.9y,yes,no,no,cellular,sep,12,812,1,639,732,nonexistent,1,93,-41,2,5528,yes
144,78,blue-collar,married,unknown,yes,no,unknown,cellular,may,20,987,4,479,850,success,0,93,-40,2,5488,no
145,95,unknown,single,unknown,no,unknown,unknown,cellular,sep,20,626,1,602,348,nonexistent,-1,94,-36,3,5419,no
146,74,unemployed,unknown,basic.4y,yes,yes,unknown,telephone,mar,29,324,4,580,131,nonexistent,-2,93,-42,3,5007,no
147,69,unknown,unknown,basic.4y,no,yes,no,telephone,mar,23,723,8,710,725,success,0,93,-48,3,5762,no
148,26,admin.,single,unknown,yes,yes,no,telephone,sep,11,93,7,521,680,failure,-2,94,-35,1,5972,no
149,62,unemployed,married,unknown,no,yes,no,cellular,may,18,30,3,553,51,success,2,92,-42,3,5391,yes
150,51,unemployed,single,basic.4y,unknown,unknown,unknown,cellular,mar,11,527,9,269,790,success,0,93,-36,4,5440,no
151,72,unknown,single,basic.9y,no,no,yes,cellular,sep,28,612,4,555,970,failure,-1,92,-48,2,5562,no
152,70,blue-collar,married,unknown,unknown,unknown,no,telephone,mar,17,655,5,349,369,failure,1,92,-36,1,5949,no
153,53,blue-collar,single,basic.4y,no,yes,no,telephone,mar,4,651,9,838,994,nonexistent,2,94,-38,0,5826,no
154,93,blue-collar,unknown,unknown,no,yes,no,cellular,mar,29,58,8,542,815,failure,-3,94,-44,4,5921,no
155,57,unemployed,married,basic.4y,yes,unknown,unknown,telephone,may,21,160,6,36,938,nonexistent,-3,94,-45,4,5672,yes
156,51,unemployed,unknown,unknown,yes,yes,yes,cellular,sep,4,411,8,909,480,success,1,94,-39,2,5086,no
157,55,blue-collar,married,basic.4y,yes,yes,yes,telephone,may,29,179,6,488,962,nonexistent,-3,92,-50,2,5785,yes
158,18,blue-collar,unknown,basic.4y,unknown,unknown,no,telephone,sep,15,737,8,286,115,nonexistent,-3,92,-34,3,5368,no
159,73,unknown,single,basic.9y,unknown,yes,no,telephone,sep,2,308,9,820,719,success,-3,94,-50,2,5252,no
160,69,unemployed,single,basic.4y,no,unknown,yes,cellular,sep,7,505,1,364,60,nonexistent,2,94,-31,1,5396,yes
161,35,unemployed,unknown,unknown,unknown,yes,yes,telephone,mar,2,364,7,962,209,failure,-2,92,-35,0,5131,no
162,83,unknown,unknown,basic.4y,unknown,no,no,cellular,mar,14,988,1,336,941,success,2,92,-48,3,5479,yes
163,79,blue-collar,unknown,basic.9y,no,no,no,telephone,mar,25,694,3,135,999,nonexistent,0,93,-34,1,5808,no
164,52,unemployed,married,basic.4y,yes,unknown,yes,cellular,mar,20,526,8,793,963,failure,2,92,-50,0,5668,yes
165,39,blue-collar,married,basic.9y,no,yes,unknown,telephone,mar,26,480,8,985,742,nonexistent,-3,93,-33,2,5024,no
166,28,blue-collar,married,basic.9y,unknown,unknown,no,cellular,may,23,838,2,7,387,failure,2,92,-49,0,5364,no
167,33,admin.,unknown,unknown,unknown,no,unknown,telephone,may,27,580,1,145,742,nonexistent,0,92,-50,3,5280,no
168,26,admin.,unknown,unknown,no,unknown,yes,telephone,sep,26,792,7,94,199,failure,1,92,-41,1,5989,yes
169,25,admin.,married,basic.9y,no,unknown,unknown,cellular,sep,19,238,4,283,271,success,-3,92,-32,1,5671,no
170,88,unknown,single,basic.4y,no,unknown,yes,cellular,mar,8,84,9,733,468,nonexistent,2,94,-39,1,5523,no
171,79,blue-collar,married,unknown,unknown,no,unknown,telephone,may,22,728,7,298,439,nonexistent,-2,93,-49,3,5426,no
172,37,unemployed,married,basic.9y,no,yes,yes,telephone,mar,5,848,2,671,824,success,-3,94,-33,1,5020,no
173,35,unknown,single,basic.9y,unknown,yes,yes,telephone,may,1,500,7,969,771,nonexistent,-1,94,-41,1,5031,no
174,53,admin.,unknown,basic.4y,no,yes,yes,cellular,mar,5,339,2,140,868,nonexistent,1,93,-40,1,5028,no
175,75,unknown,unknown,unknown,no,yes,unknown,telephone,mar,14,345,9,799,751,failure,-2,94,-33,3,5669,no
176,37,admin.,unknown,unknown,no,unknown,yes,telephone,mar,23,859,9,875,862,success,1,93,-38,2,5562,no
177,58,unemployed,single,basic.4y,yes,no,no,telephone,mar,25,366,3,232,720,failure,1,93,-44,2,5948,no
178,84,unknown,married,unknown,yes,no,yes,cellular,sep,12,158,8,367,942,nonexistent,-3,94,-50,4,5591,yes
179,45,admin.,married,basic.4y,yes,yes,yes,cellular,mar,8,659,3,291,290,failure,2,92,-48,4,5712,no
180,32,unknown,married,basic.9y,unknown,unknown,yes,cellular,may,25,657,6,311,310,nonexistent,1,92,-42,3,5485,yes
181,97,admin.,single,unknown,no,no,unknown,cellular,mar,2,123,2,417,333,success,1,94,-39,1,5680,yes
182,32,unemployed,married,basic.9y,no,no,yes,cellular,sep,29,87,8,558,2,nonexistent,-3,92,-49,2,5770,yes
183,20,blue-collar,married,unknown,unknown,unknown,no,cellular,sep,2,532,5,64,493,nonexistent,-2,92,-31,3,5952,no
184,64,admin.,single,unknown,unknown,no,yes,cellular,sep,29,186,7,978,442,failure,-1,94,-49,4,5948,no
185,22,unknown,unknown,unknown,no,yes,unknown,telephone,may,10,890,7,455,923,success,-2,92,-42,4,5288,yes
186,71,blue-collar,unknown,unknown,no,yes,no,telephone,may,8,608,6,943,376,success,0,93,-31,2,5361,yes
187,92,unknown,unknown,basic.9y,yes,unknown,unknown,cellular,sep,29,706,9,315,825,success,2,93,-38,4,5351,yes
188,69,unknown,single,basic.4y,no,unknown,yes,telephone,sep,15,882,3,991,116,nonexistent,-1,93,-32,4,5489,no
189,43,unemployed,unknown,basic.4y,unknown,yes,yes,cellular,sep,4,470,6,45,457,failure,1,93,-36,1,5742,no
190,41,unknown,married,unknown,yes,yes,unknown,cellular,mar,25,355,8,422,978,nonexistent,1,93,-50,4,5415,yes
191,68,unknown,unknown,unknown,unknown,yes,unknown,cellular,sep,8,705,9,968,470,success,1,94,-42,3,5204,yes
192,32,admin.,unknown,basic.9y,yes,yes,yes,telephone,mar,18,373,3,452,841,failure,-1,93,-42,3,5471,yes
193,37,admin.,single,unknown,unknown,no,yes,telephone,may,5,903,7,715,159,success,2,94,-41,2,5296,yes
194,80,unemployed,married,unknown,no,unknown,no,cellular,sep,19,393,7,836,385,nonexistent,1,93,-33,2,5593,no
195,74,admin.,married,basic.9y,unknown,no,no,telephone,mar,3,740,5,982,78,nonexistent,0,94,-47,0,5111,no
196,83,admin.,single,unknown,no,yes,no,telephone,sep,6,536,1,322,281,failure,2,92,-46,0,5198,yes
197,74,unknown,single,basic.4y,yes,no,unknown,telephone,may,12,37,9,417,727,success,1,93,-38,3,5648,no
198,61,unemployed,unknown,basic.9y,unknown,yes,unknown,cellular,mar,29,97,2,325,604,success,1,94,-43,1,5829,yes
199,57,unknown,unknown,basic.4y,no,unknown,unknown,cellular,mar,23,232,4,889,429,failure,0,92,-38,0,5916,yes
200,68,admin.,unknown,basic.9y,no,yes,no,telephone,may,4,63,4,538,109,success,-1,93,-35,1,5666,no
201,74,blue-collar,married,basic.4y,unknown,no,yes,telephone,mar,24,97,1,28,245,success,1,93,-44,3,5116,no
202,77,unknown,married,basic.9y,unknown,no,yes,telephone,sep,28,872,6,762,126,failure,-3,94,-32,4,5804,no
203,44,admin.,single,unknown,no,yes,unknown,telephone,mar,3,973,7,636,22,success,-1,94,-41,0,5809,no
204,91,blue-collar,unknown,basic.9y,yes,no,yes,cellular,mar,9,561,2,387,497,success,-3,92,-44,1,5832,yes
205,46,unemployed,single,basic.4y,no,yes,unknown,cellular,sep,7,824,3,190,997,failure,1,92,-47,4,5822,no
206,48,unemployed,single,unknown,unknown,unknown,no,cellular,sep,21,248,9,156,776,success,2,92,-49,2,5895,no
207,71,unknown,married,basic.4y,yes,yes,no,cellular,mar,5,104,3,682,696,failure,2,93,-36,3,5650,yes
208,96,admin.,unknown,basic.9y,unknown,yes,unknown,telephone,may,18,710,2,462,483,failure,-2,94,-33,4,5266,no
209,51,unknown,married,unknown,no,no,yes,cellular,may,23,217,6,479,50,nonexistent,2,92,-34,1,5518,yes
210,79,unemployed,single,basic.4y,no,yes,unknown,telephone,sep,1,70,1,106,719,nonexistent,0,94,-49,1,5037,no
211,32,blue-collar,single,unknown,unknown,unknown,yes,cellular,mar,22,980,5,596,426,nonexistent,-3,92,-42,1,5623,yes
212,83,blue-collar,married,basic.9y,yes,unknown,yes,telephone,sep,27,675,2,350,509,nonexistent,-3,92,-33,1,5524,no
213,88,admin.,unknown,basic.9y,no,yes,unknown,cellular,may,3,649,2,615,21,failure,0,93,-33,2,5553,no
214,32,admin.,unknown,unknown,unknown,no,no,telephone,may,24,411,9,439,392,success,2,92,-33,2,5440,no
215,76,admin.,single,basic.9y,no,unknown,unknown,cellular,sep,15,850,9,242,525,failure,-1,93,-41,2,5999,no
216,92,unknown,married,basic.4y,unknown,yes,unknown,cellular,sep,23,91,2,358,396,nonexistent,0,93,-38,1,5756,no
217,28,blue-collar,unknown,unknown,yes,unknown,no,telephone,may,9,404,4,431,275,failure,-1,94,-32,1,5740,yes
218,81,admin.,married,unknown,yes,no,unknown,cellular,may,19,105,9,728,652,nonexistent,0,94,-38,2,5192,yes
219,98,admin.,married,unknown,no,unknown,yes,telephone,may,25,705,8,1,986,nonexistent,-2,93,-37,3,5186,yes
220,89,admin.,unknown,unknown,no,yes,no,telephone,mar,12,207,3,303,262,nonexistent,-3,92,-45,3,5984,no
221,61,unemployed,unknown,unknown,no,yes,unknown,telephone,may,23,914,7,856,795,success,-1,93,-42,4,5827,yes
222,40,unemployed,unknown,basic.9y,yes,unknown,unknown,telephone,may,17,685,9,613,146,failure,-2,94,-42,4,5066,no
223,47,unknown,unknown,basic.4y,yes,yes,yes,telephone,mar,17,264,2,65,699,success,1,94,-34,3,5888,no
224,33,unknown,single,basic.4y,unknown,no,unknown,telephone,may,14,343,2,429,592,failure,-1,93,-39,0,5725,yes
225,83,unemployed,unknown,basic.9y,yes,no,no,telephone,may,6,521,2,149,762,nonexistent,0,94,-33,3,5458,yes
226,28,unknown,married,unknown,yes,yes,no,cellular,may,5,104,8,152,119,success,-2,94,-46,0,5204,yes
