client_id,contact,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
441,telephone,481,8,508,232,0.0,no,1,2022-05-16
442,telephone,272,2,495,601,,yes,1,2022-09-07
443,cellular,265,1,837,231,1.0,yes,1,2022-05-12
444,cellular,697,6,560,147,1.0,no,1,2022-09-08
445,telephone,378,9,276,961,0.0,no,1,2022-09-12
446,cellular,28,3,598,256,1.0,yes,1,2022-05-08
447,telephone,124,1,211,106,,no,1,2022-09-18
448,cellular,955,5,849,597,0.0,yes,1,2022-03-30
449,telephone,31,5,906,441,1.0,no,1,2022-09-01
450,cellular,866,2,651,90,,yes,1,2022-05-07
451,telephone,441,8,569,497,1.0,no,1,2022-09-25
452,cellular,146,3,678,922,,yes,1,2022-05-11
453,cellular,257,9,791,190,,no,1,2022-03-02
454,telephone,479,8,733,847,1.0,no,1,2022-03-25
455,cellular,225,4,50,275,,no,1,2022-03-21
456,cellular,408,4,852,124,0.0,no,1,2022-05-11
457,telephone,208,5,991,334,,yes,1,2022-05-12
458,cellular,612,5,15,7,0.0,yes,1,2022-03-10
459,telephone,402,9,544,398,1.0,no,1,2022-05-25
460,cellular,775,9,933,49,,yes,1,2022-05-06
461,cellular,181,4,457,196,1.0,yes,1,2022-09-09
462,telephone,165,2,240,958,,yes,1,2022-05-28
463,cellular,746,2,79,102,0.0,yes,1,2022-03-25
464,telephone,778,1,187,860,1.0,yes,1,2022-03-15
465,telephone,525,9,9,697,1.0,yes,1,2022-09-22
466,telephone,356,9,645,727,,no,1,2022-03-14
467,cellular,838,5,768,689,0.0,no,1,2022-09-14
468,telephone,450,3,144,527,1.0,yes,1,2022-03-19
469,cellular,824,6,21,452,0.0,no,1,2022-03-12
470,cellular,257,3,528,162,,yes,1,2022-03-21
471,telephone,131,7,907,20,0.0,yes,1,2022-05-09
472,cellular,229,8,312,277,,no,1,2022-03-29
473,telephone,48,4,113,74,,yes,1,2022-09-17
474,telephone,717,6,563,284,0.0,yes,1,2022-03-06
475,telephone,295,6,758,724,1.0,yes,1,2022-03-20
476,cellular,572,8,685,478,,yes,1,2022-05-16
477,telephone,481,5,642,55,,yes,1,2022-09-28
478,cellular,317,8,975,840,,yes,1,2022-05-30
479,cellular,68,5,791,857,1.0,yes,1,2022-09-16
480,cellular,308,1,922,472,0.0,yes,1,2022-03-26
481,telephone,380,5,938,583,,no,1,2022-09-13
482,telephone,139,8,587,648,1.0,no,1,2022-09-28
483,cellular,268,3,934,632,,no,1,2022-09-08
484,telephone,252,6,237,595,1.0,no,1,2022-03-28
485,telephone,695,2,816,21,,yes,1,2022-05-12
486,cellular,65,5,846,355,0.0,yes,1,2022-03-21
487,telephone,270,3,190,965,,no,1,2022-09-29
488,telephone,324,7,821,195,0.0,no,1,2022-09-11
