id,age,job,marital,education,credit_default,housing,loan
55,98,blue-collar,unknown,basic_4y,unknown,no,unknown
56,88,unemployed,married,,yes,no,unknown
57,93,blue-collar,unknown,,yes,no,yes
58,72,blue-collar,single,basic_4y,unknown,no,yes
59,36,unknown,single,basic_9y,no,yes,unknown
60,94,unknown,single,basic_4y,no,yes,no
61,37,admin,married,basic_9y,yes,no,unknown
62,30,unknown,married,basic_9y,yes,unknown,yes
63,82,admin,married,basic_4y,yes,no,unknown
64,36,blue-collar,married,basic_4y,no,unknown,no
65,94,admin,single,basic_4y,yes,yes,unknown
66,27,unknown,single,basic_9y,no,no,no
67,91,admin,single,basic_4y,no,unknown,yes
68,42,unknown,married,,unknown,yes,unknown
69,78,admin,married,,no,unknown,unknown
70,53,admin,married,,yes,no,unknown
71,92,blue-collar,married,basic_4y,unknown,unknown,unknown
72,27,unemployed,unknown,basic_9y,yes,unknown,yes
73,64,unknown,unknown,,unknown,unknown,no
74,55,admin,single,basic_9y,no,no,unknown
75,72,unknown,married,basic_9y,yes,no,yes
76,77,unemployed,married,,no,yes,unknown
77,55,admin,married,basic_4y,unknown,no,no
78,39,admin,unknown,,unknown,unknown,yes
79,91,blue-collar,single,basic_4y,unknown,unknown,yes
80,29,unemployed,unknown,basic_4y,no,unknown,no
81,19,unknown,married,basic_9y,no,no,yes
82,77,admin,married,basic_9y,yes,no,unknown
83,30,unknown,unknown,basic_9y,no,unknown,no
84,61,unemployed,married,basic_9y,no,yes,yes
85,54,unknown,single,basic_4y,yes,yes,no
86,78,blue-collar,unknown,basic_9y,no,yes,yes
87,64,admin,unknown,,unknown,no,yes
88,36,unemployed,married,basic_9y,unknown,yes,unknown
89,43,admin,married,basic_4y,unknown,no,unknown
90,88,unknown,married,basic_9y,unknown,yes,yes
91,50,admin,unknown,,no,unknown,no
92,33,unemployed,single,,unknown,unknown,unknown
93,73,unknown,married,basic_4y,unknown,unknown,no
94,71,unemployed,single,basic_9y,unknown,yes,unknown
95,60,blue-collar,married,basic_4y,unknown,no,no
96,37,unknown,unknown,basic_4y,yes,yes,no
97,20,blue-collar,single,basic_9y,yes,no,yes
98,69,unknown,single,basic_9y,yes,unknown,no
99,56,blue-collar,unknown,,yes,yes,unknown
100,84,unknown,single,basic_9y,yes,unknown,unknown
101,75,unknown,married,basic_4y,unknown,unknown,unknown
102,36,unemployed,single,basic_9y,unknown,yes,yes
103,64,blue-collar,married,,unknown,no,no
104,70,unknown,married,basic_4y,unknown,yes,no
105,44,admin,married,basic_4y,no,unknown,no
106,68,unemployed,unknown,,unknown,no,no
107,40,unemployed,single,basic_9y,yes,unknown,yes
108,52,unknown,unknown,,yes,no,no
109,23,admin,married,basic_9y,no,unknown,no
110,32,unknown,unknown,basic_9y,unknown,no,no
111,91,unemployed,married,,no,yes,yes
112,93,admin,married,basic_4y,no,no,no
113,52,unemployed,single,basic_9y,yes,no,unknown
114,92,blue-collar,unknown,basic_9y,unknown,unknown,unknown
115,55,blue-collar,married,,unknown,yes,unknown
116,34,admin,unknown,basic_4y,no,unknown,no
117,70,blue-collar,unknown,basic_4y,no,yes,no
118,24,blue-collar,unknown,,no,no,yes
119,40,unknown,single,basic_4y,no,yes,yes
120,65,unknown,married,basic_4y,yes,unknown,yes
121,25,unemployed,unknown,basic_9y,unknown,yes,unknown
122,51,admin,married,basic_4y,no,no,yes
123,84,blue-collar,unknown,basic_4y,yes,no,unknown
124,66,admin,married,basic_9y,unknown,yes,unknown
125,93,blue-collar,unknown,basic_9y,unknown,unknown,yes
126,36,admin,married,basic_4y,unknown,unknown,yes
127,37,blue-collar,married,,yes,no,no
128,95,admin,single,basic_9y,unknown,unknown,no
129,98,blue-collar,married,,no,yes,unknown
130,35,admin,single,,yes,yes,no
131,77,admin,married,basic_4y,no,no,unknown
132,28,unemployed,single,basic_4y,no,no,no
133,69,admin,married,basic_4y,unknown,yes,yes
134,33,unemployed,married,,yes,unknown,unknown
135,35,blue-collar,married,basic_9y,no,no,yes
136,24,unknown,unknown,,no,yes,yes
137,97,unemployed,unknown,,unknown,unknown,no
138,74,unemployed,married,basic_4y,no,yes,unknown
139,44,blue-collar,married,,yes,unknown,unknown
140,37,unemployed,single,basic_9y,unknown,yes,yes
141,29,unknown,single,basic_4y,no,unknown,yes
142,57,unemployed,unknown,,no,yes,no
143,61,blue-collar,married,basic_9y,yes,no,no
144,78,blue-collar,married,,yes,no,unknown
145,95,unknown,single,,no,unknown,unknown
146,74,unemployed,unknown,basic_4y,yes,yes,unknown
147,69,unknown,unknown,basic_4y,no,yes,no
148,26,admin,single,,yes,yes,no
149,62,unemployed,married,,no,yes,no
150,51,unemployed,single,basic_4y,unknown,unknown,unknown
151,72,unknown,single,basic_9y,no,no,yes
152,70,blue-collar,married,,unknown,unknown,no
153,53,blue-collar,single,basic_4y,no,yes,no
154,93,blue-collar,unknown,,no,yes,no
155,57,unemployed,married,basic_4y,yes,unknown,unknown
156,51,unemployed,unknown,,yes,yes,yes
157,55,blue-collar,married,basic_4y,yes,yes,yes
158,18,blue-collar,unknown,basic_4y,unknown,unknown,no
159,73,unknown,single,basic_9y,unknown,yes,no
160,69,unemployed,single,basic_4y,no,unknown,yes
161,35,unemployed,unknown,,unknown,yes,yes
162,83,unknown,unknown,basic_4y,unknown,no,no
163,79,blue-collar,unknown,basic_9y,no,no,no
164,52,unemployed,married,basic_4y,yes,unknown,yes
165,39,blue-collar,married,basic_9y,no,yes,unknown
166,28,blue-collar,married,basic_9y,unknown,unknown,no
167,33,admin,unknown,,unknown,no,unknown
168,26,admin,unknown,,no,unknown,yes
169,25,admin,married,basic_9y,no,unknown,unknown
170,88,unknown,single,basic_4y,no,unknown,yes
171,79,blue-collar,married,,unknown,no,unknown
172,37,unemployed,married,basic_9y,no,yes,yes
173,35,unknown,single,basic_9y,unknown,yes,yes
174,53,admin,unknown,basic_4y,no,yes,yes
175,75,unknown,unknown,,no,yes,unknown
176,37,admin,unknown,,no,unknown,yes
177,58,unemployed,single,basic_4y,yes,no,no
178,84,unknown,married,,yes,no,yes
179,45,admin,married,basic_4y,yes,yes,yes
180,32,unknown,married,basic_9y,unknown,unknown,yes
181,97,admin,single,,no,no,unknown
182,32,unemployed,married,basic_9y,no,no,yes
183,20,blue-collar,married,,unknown,unknown,no
184,64,admin,single,,unknown,no,yes
185,22,unknown,unknown,,no,yes,unknown
186,71,blue-collar,unknown,,no,yes,no
187,92,unknown,unknown,basic_9y,yes,unknown,unknown
188,69,unknown,single,basic_4y,no,unknown,yes
189,43,unemployed,unknown,basic_4y,unknown,yes,yes
190,41,unknown,married,,yes,yes,unknown
191,68,unknown,unknown,,unknown,yes,unknown
192,32,admin,unknown,basic_9y,yes,yes,yes
193,37,admin,single,,unknown,no,yes
194,80,unemployed,married,,no,unknown,no
195,74,admin,married,basic_9y,unknown,no,no
196,83,admin,single,,no,yes,no
197,74,unknown,single,basic_4y,yes,no,unknown
198,61,unemployed,unknown,basic_9y,unknown,yes,unknown
199,57,unknown,unknown,basic_4y,no,unknown,unknown
200,68,admin,unknown,basic_9y,no,yes,no
201,74,blue-collar,married,basic_4y,unknown,no,yes
202,77,unknown,married,basic_9y,unknown,no,yes
203,44,admin,single,,no,yes,unknown
204,91,blue-collar,unknown,basic_9y,yes,no,yes
205,46,unemployed,single,basic_4y,no,yes,unknown
206,48,unemployed,single,,unknown,unknown,no
207,71,unknown,married,basic_4y,yes,yes,no
208,96,admin,unknown,basic_9y,unknown,yes,unknown
209,51,unknown,married,,no,no,yes
210,79,unemployed,single,basic_4y,no,yes,unknown
211,32,blue-collar,single,,unknown,unknown,yes
212,83,blue-collar,married,basic_9y,yes,unknown,yes
213,88,admin,unknown,basic_9y,no,yes,unknown
214,32,admin,unknown,,unknown,no,no
215,76,admin,single,basic_9y,no,unknown,unknown
216,92,unknown,married,basic_4y,unknown,yes,unknown
217,28,blue-collar,unknown,,yes,unknown,no
218,81,admin,married,,yes,no,unknown
219,98,admin,married,,no,unknown,yes
220,89,admin,unknown,,no,yes,no
221,61,unemployed,unknown,,no,yes,unknown
222,40,unemployed,unknown,basic_9y,yes,unknown,unknown
223,47,unknown,unknown,basic_4y,yes,yes,yes
224,33,unknown,single,basic_4y,unknown,no,unknown
225,83,unemployed,unknown,basic_9y,yes,no,no
226,28,unknown,married,,yes,yes,no
227,43,unknown,married,basic_4y,unknown,yes,no
228,35,admin,unknown,basic_4y,unknown,no,no
229,80,unknown,unknown,,yes,yes,no
230,73,unemployed,married,basic_4y,yes,yes,no
231,30,admin,single,basic_9y,yes,yes,yes
232,27,admin,unknown,basic_9y,no,yes,unknown
233,84,unemployed,unknown,,unknown,no,no
234,31,unknown,unknown,basic_9y,no,unknown,yes
235,50,unemployed,unknown,basic_9y,unknown,yes,no
236,86,unemployed,married,,yes,unknown,yes
237,83,blue-collar,married,basic_9y,yes,no,no
238,40,unemployed,single,basic_4y,yes,unknown,yes
239,81,unemployed,single,basic_9y,unknown,no,no
240,86,unemployed,single,basic_4y,no,yes,unknown
241,80,unknown,single,basic_4y,no,unknown,unknown
242,58,admin,unknown,,unknown,no,no
243,88,unknown,unknown,basic_4y,no,yes,yes
244,25,admin,unknown,basic_4y,yes,yes,yes
245,42,unknown,married,basic_4y,yes,yes,no
246,68,unknown,married,,no,unknown,yes
247,46,unemployed,single,basic_9y,unknown,no,no
248,43,blue-collar,married,basic_9y,unknown,yes,yes
249,57,admin,married,basic_4y,unknown,unknown,yes
250,32,blue-collar,single,basic_4y,yes,yes,no
251,61,blue-collar,single,basic_4y,unknown,no,no
252,61,blue-collar,married,basic_9y,no,yes,unknown
253,45,blue-collar,married,basic_4y,yes,unknown,unknown
254,92,unknown,unknown,basic_9y,unknown,yes,yes
255,75,unemployed,married,,yes,yes,yes
256,33,admin,unknown,basic_9y,no,unknown,yes
257,59,unknown,unknown,basic_9y,unknown,no,no
258,78,admin,married,basic_4y,no,yes,yes
259,33,unknown,married,basic_9y,yes,unknown,no
260,35,unemployed,single,basic_4y,no,yes,yes
261,29,admin,single,basic_4y,yes,yes,no
262,50,blue-collar,married,,yes,no,yes
263,50,blue-collar,married,basic_4y,unknown,no,unknown
264,58,blue-collar,unknown,basic_9y,unknown,unknown,unknown
265,20,admin,married,basic_9y,no,no,unknown
266,73,blue-collar,married,basic_4y,yes,no,no
267,79,blue-collar,unknown,,no,yes,unknown
268,48,unknown,single,basic_9y,no,unknown,no
269,39,admin,married,basic_9y,yes,yes,no
270,40,unemployed,married,basic_9y,unknown,unknown,no
271,24,unemployed,unknown,basic_4y,yes,yes,unknown
272,61,unemployed,single,basic_9y,yes,yes,yes
273,91,blue-collar,unknown,,no,no,yes
274,64,blue-collar,unknown,basic_4y,no,unknown,unknown
275,23,unemployed,unknown,basic_9y,unknown,unknown,unknown
276,18,blue-collar,unknown,basic_4y,no,unknown,unknown
277,33,unknown,married,basic_4y,no,yes,unknown
278,86,unemployed,unknown,,no,no,yes
279,66,blue-collar,unknown,,yes,no,no
280,26,admin,single,basic_4y,unknown,unknown,yes
281,76,unknown,unknown,basic_9y,no,no,no
282,71,admin,married,basic_9y,unknown,yes,yes
283,32,unemployed,married,basic_4y,unknown,unknown,unknown
284,55,unemployed,married,basic_4y,yes,no,no
285,78,blue-collar,married,,yes,unknown,no
286,47,blue-collar,single,basic_4y,yes,yes,yes
287,82,unknown,single,,yes,unknown,yes
288,38,unemployed,single,basic_4y,no,yes,no
289,77,admin,married,basic_4y,yes,no,yes
290,36,unknown,unknown,,yes,no,yes
291,34,admin,unknown,,unknown,no,no
292,64,blue-collar,married,basic_4y,unknown,no,yes
293,53,admin,single,,unknown,yes,yes
294,38,admin,single,,no,unknown,yes
295,89,blue-collar,unknown,basic_4y,yes,yes,unknown
296,25,blue-collar,single,,no,no,no
297,28,unemployed,unknown,basic_4y,unknown,unknown,yes
298,88,blue-collar,single,basic_4y,unknown,yes,unknown
299,45,unemployed,unknown,,no,yes,no
300,83,admin,unknown,basic_4y,yes,yes,no
301,20,admin,unknown,,unknown,yes,unknown
302,62,unemployed,unknown,basic_9y,no,unknown,unknown
303,89,blue-collar,single,basic_4y,yes,yes,yes
304,92,unknown,unknown,,unknown,unknown,yes
305,44,unknown,unknown,basic_4y,unknown,yes,no
306,49,blue-collar,single,basic_9y,no,unknown,unknown
307,96,admin,unknown,basic_4y,no,yes,unknown
308,73,admin,single,basic_4y,no,yes,unknown
309,44,unknown,unknown,basic_4y,no,no,yes
310,75,unknown,unknown,basic_4y,yes,yes,unknown
311,33,unknown,married,,yes,unknown,no
312,77,admin,unknown,basic_4y,yes,no,unknown
313,30,blue-collar,unknown,basic_9y,yes,yes,no
314,18,unknown,single,basic_9y,yes,no,unknown
315,92,blue-collar,single,basic_9y,no,unknown,yes
316,71,unknown,married,basic_9y,yes,unknown,yes
317,91,unemployed,married,basic_4y,no,no,unknown
318,51,unknown,married,,unknown,unknown,yes
319,60,unknown,married,basic_9y,yes,no,no
320,40,blue-collar,unknown,,no,no,no
321,29,blue-collar,single,basic_4y,unknown,yes,yes
322,28,unemployed,unknown,,no,unknown,unknown
323,58,unemployed,unknown,basic_4y,unknown,unknown,yes
324,37,unemployed,married,basic_4y,yes,no,unknown
325,37,unemployed,unknown,basic_4y,unknown,yes,no
326,67,unemployed,unknown,,unknown,unknown,yes
327,46,unknown,unknown,basic_9y,yes,yes,yes
328,45,unknown,single,,unknown,no,no
329,40,unknown,unknown,,yes,yes,unknown
330,94,blue-collar,married,basic_9y,unknown,yes,yes
331,78,blue-collar,unknown,,yes,no,yes
332,20,unknown,single,,yes,yes,unknown
333,26,blue-collar,married,basic_4y,yes,no,unknown
334,77,blue-collar,single,basic_4y,no,no,yes
335,20,blue-collar,unknown,,no,no,yes
336,92,blue-collar,married,basic_4y,yes,unknown,yes
337,68,blue-collar,married,basic_9y,unknown,no,no
338,92,unknown,single,basic_9y,yes,unknown,unknown
339,97,admin,single,basic_9y,no,no,unknown
340,31,blue-collar,unknown,,yes,yes,yes
341,45,blue-collar,unknown,basic_9y,unknown,yes,unknown
342,76,admin,unknown,,yes,no,unknown
343,62,unknown,single,basic_4y,yes,no,yes
344,32,unemployed,married,basic_4y,unknown,yes,unknown
345,65,unemployed,married,,no,yes,no
346,58,unemployed,married,basic_4y,no,yes,unknown
347,85,unemployed,married,,yes,yes,yes
348,51,unknown,single,basic_4y,yes,yes,no
349,89,unemployed,married,,unknown,yes,no
350,90,blue-collar,married,basic_9y,yes,no,yes
351,86,unknown,married,basic_4y,no,unknown,yes
352,51,blue-collar,unknown,basic_4y,unknown,no,unknown
353,72,unknown,married,basic_4y,yes,no,no
354,58,unemployed,single,,yes,yes,yes
355,67,unknown,single,basic_4y,unknown,no,unknown
356,86,blue-collar,single,,no,unknown,unknown
357,74,unemployed,married,basic_4y,no,unknown,yes
358,68,unemployed,unknown,,yes,no,unknown
359,20,unemployed,married,basic_9y,no,no,yes
360,64,admin,unknown,basic_4y,unknown,unknown,unknown
361,69,admin,single,,unknown,no,unknown
362,20,unknown,unknown,basic_9y,yes,unknown,unknown
363,58,unknown,unknown,basic_9y,no,unknown,yes
364,51,unemployed,unknown,,unknown,yes,no
365,55,admin,married,basic_9y,no,no,yes
366,64,admin,married,,yes,no,no
367,91,admin,single,basic_9y,yes,no,unknown
368,33,blue-collar,married,,yes,unknown,unknown
369,51,blue-collar,single,basic_9y,no,unknown,no
370,33,unknown,unknown,basic_9y,unknown,no,yes
371,37,unknown,married,basic_9y,yes,yes,unknown
372,70,admin,married,basic_4y,yes,yes,yes
373,84,admin,unknown,,unknown,no,yes
374,24,unemployed,unknown,,no,no,no
375,20,unemployed,single,basic_4y,yes,no,no
376,88,unemployed,single,basic_4y,yes,unknown,unknown
377,92,unknown,married,basic_9y,yes,yes,yes
378,79,admin,married,basic_9y,no,yes,unknown
379,86,unemployed,married,,yes,no,yes
380,54,unknown,unknown,,no,yes,no
381,49,unemployed,unknown,basic_4y,no,unknown,yes
382,41,admin,married,,unknown,no,no
383,93,admin,married,basic_4y,unknown,no,no
384,42,unknown,unknown,basic_9y,no,yes,yes
385,86,unemployed,married,basic_4y,no,no,unknown
386,33,blue-collar,single,basic_9y,yes,no,unknown
387,97,unknown,single,,yes,no,no
388,93,unknown,married,basic_9y,no,yes,unknown
389,61,admin,married,,no,no,yes
390,44,unemployed,single,basic_9y,yes,unknown,unknown
391,80,admin,unknown,basic_4y,yes,no,yes
392,66,admin,single,basic_9y,unknown,yes,no
393,67,admin,married,basic_9y,yes,yes,yes
394,19,admin,single,,yes,unknown,no
395,18,admin,single,basic_4y,no,no,no
396,25,unemployed,married,basic_4y,no,no,no
397,25,unemployed,unknown,,no,no,unknown
398,22,blue-collar,single,basic_4y,unknown,no,no
399,42,unknown,married,basic_4y,yes,no,yes
400,84,unemployed,unknown,basic_4y,unknown,no,no
401,64,blue-collar,single,basic_4y,yes,yes,unknown
402,77,admin,married,basic_4y,yes,yes,yes
403,29,unemployed,single,basic_9y,unknown,no,no
404,81,admin,married,basic_4y,no,unknown,no
405,61,admin,married,basic_9y,no,unknown,no
406,64,unknown,married,basic_4y,no,yes,unknown
407,84,blue-collar,single,,unknown,unknown,no
408,82,unknown,unknown,basic_9y,yes,yes,no
409,86,blue-collar,unknown,basic_9y,unknown,unknown,unknown
410,96,unknown,married,,no,yes,yes
411,58,blue-collar,married,basic_9y,yes,yes,no
412,59,blue-collar,unknown,basic_4y,unknown,yes,unknown
413,68,unknown,single,,yes,no,unknown
414,52,unknown,married,basic_4y,yes,no,unknown
415,84,unknown,single,basic_9y,no,no,yes
416,89,unemployed,unknown,,yes,no,no
417,89,unemployed,married,,unknown,unknown,unknown
418,76,unemployed,unknown,basic_9y,unknown,yes,unknown
419,59,unknown,married,basic_4y,unknown,unknown,no
420,88,blue-collar,single,basic_9y,unknown,yes,no
421,58,unemployed,married,basic_4y,unknown,no,unknown
422,94,unemployed,single,basic_4y,no,unknown,no
423,39,unknown,unknown,basic_9y,no,unknown,unknown
424,45,unknown,single,basic_9y,unknown,unknown,unknown
425,33,unknown,married,basic_4y,yes,yes,unknown
426,84,admin,married,,no,unknown,unknown
427,73,unknown,unknown,basic_9y,yes,no,unknown
428,21,blue-collar,unknown,,yes,unknown,unknown
429,23,unknown,married,basic_4y,no,unknown,unknown
430,96,unemployed,married,,no,yes,yes
431,20,unemployed,single,basic_4y,yes,no,unknown
432,50,blue-collar,married,basic_9y,yes,yes,yes
433,56,admin,single,basic_4y,no,yes,unknown
434,88,unknown,married,basic_9y,no,unknown,yes
435,45,unknown,married,,unknown,unknown,no
436,72,blue-collar,unknown,basic_4y,yes,yes,yes
437,71,blue-collar,unknown,basic_4y,unknown,unknown,no
438,65,unemployed,married,basic_9y,no,unknown,unknown
439,72,unknown,unknown,,no,yes,no
440,56,blue-collar,single,,no,no,no
441,26,unknown,married,basic_4y,unknown,no,yes
442,67,admin,married,basic_4y,yes,unknown,yes
443,60,unemployed,married,basic_9y,yes,yes,unknown
444,72,blue-collar,unknown,basic_4y,yes,yes,yes
445,59,admin,unknown,basic_4y,no,unknown,unknown
446,58,admin,unknown,basic_4y,yes,unknown,no
447,18,unemployed,single,basic_4y,yes,unknown,unknown
448,58,admin,unknown,basic_4y,unknown,no,no
449,54,unknown,unknown,basic_9y,yes,no,no
450,84,unemployed,married,basic_4y,no,no,yes
451,18,admin,unknown,basic_4y,unknown,unknown,unknown
452,34,unknown,single,basic_4y,yes,no,unknown
453,79,admin,married,basic_9y,no,unknown,no
454,98,admin,married,basic_9y,no,no,no
455,61,admin,unknown,basic_9y,unknown,unknown,unknown
456,34,admin,married,,no,yes,unknown
457,62,unknown,unknown,,unknown,unknown,yes
458,32,admin,unknown,basic_9y,yes,no,no
459,63,unknown,unknown,basic_4y,no,no,no
460,64,unemployed,single,,yes,yes,yes
461,35,unknown,unknown,basic_4y,unknown,unknown,no
462,61,admin,single,,yes,no,unknown
463,21,blue-collar,single,basic_4y,yes,unknown,yes
464,53,blue-collar,single,basic_4y,unknown,yes,unknown
465,75,unemployed,married,,unknown,yes,yes
466,55,unknown,married,basic_9y,no,unknown,no
467,80,unknown,unknown,basic_4y,unknown,unknown,no
468,87,unemployed,unknown,basic_4y,yes,yes,no
469,30,blue-collar,single,basic_9y,no,no,yes
470,65,unknown,single,,no,no,no
471,28,admin,single,basic_4y,unknown,yes,unknown
472,39,unknown,unknown,basic_4y,unknown,unknown,no
473,44,blue-collar,single,basic_9y,unknown,yes,unknown
474,62,admin,unknown,basic_9y,yes,no,no
475,89,admin,married,,unknown,no,no
476,31,blue-collar,unknown,basic_9y,no,unknown,yes
477,19,unemployed,married,,unknown,yes,no
478,49,unemployed,single,basic_9y,yes,no,yes
479,49,blue-collar,unknown,basic_4y,no,no,unknown
480,41,blue-collar,unknown,,no,no,unknown
481,24,admin,unknown,,unknown,no,unknown
482,83,admin,unknown,basic_4y,unknown,no,no
483,19,blue-collar,married,basic_4y,unknown,no,no
484,81,blue-collar,married,basic_9y,yes,no,no
485,88,admin,unknown,basic_9y,no,yes,no
486,87,unknown,married,basic_4y,no,yes,unknown
487,79,admin,unknown,,no,no,yes
488,79,admin,married,basic_9y,no,yes,yes
489,87,unknown,married,,no,yes,yes
490,74,blue-collar,single,,no,no,no
491,66,unemployed,unknown,basic_9y,unknown,yes,no
492,66,unknown,married,basic_9y,yes,no,unknown
493,37,admin,single,basic_4y,unknown,no,unknown
494,25,unemployed,single,basic_4y,unknown,yes,no
495,64,unemployed,single,,unknown,yes,unknown
496,23,unknown,unknown,basic_4y,yes,unknown,yes
497,63,unknown,unknown,basic_9y,unknown,yes,unknown
498,67,admin,unknown,basic_9y,unknown,no,unknown
499,42,blue-collar,married,basic_9y,yes,no,yes
500,21,admin,married,basic_4y,yes,no,unknown
501,32,blue-collar,married,basic_9y,unknown,yes,no
502,61,unknown,unknown,basic_4y,yes,unknown,no
503,93,unknown,unknown,basic_4y,yes,no,yes
504,92,unemployed,married,basic_9y,unknown,yes,no
505,25,unemployed,single,basic_9y,unknown,unknown,unknown
506,58,unemployed,single,basic_4y,no,no,unknown
507,74,blue-collar,unknown,,no,no,unknown
508,55,admin,married,basic_9y,no,unknown,no
509,61,unknown,single,basic_4y,unknown,no,no
510,29,unemployed,single,basic_4y,yes,no,no
511,84,admin,married,basic_9y,no,unknown,yes
512,58,admin,married,basic_4y,yes,unknown,no
513,98,admin,single,basic_4y,no,no,no
514,37,admin,single,basic_4y,yes,no,yes
515,38,blue-collar,single,,no,unknown,yes
516,33,blue-collar,single,,no,no,unknown
517,95,unemployed,unknown,basic_4y,yes,yes,unknown
518,99,unemployed,single,basic_9y,yes,yes,unknown
519,36,blue-collar,unknown,basic_9y,yes,no,no
520,73,blue-collar,unknown,basic_9y,no,no,yes
521,43,unknown,unknown,basic_4y,no,yes,yes
522,18,admin,single,,unknown,no,no
523,59,blue-collar,married,basic_9y,yes,no,no
524,47,unknown,unknown,basic_9y,yes,unknown,yes
525,41,admin,unknown,basic_4y,no,yes,no
526,93,unknown,unknown,basic_9y,no,no,yes
527,68,blue-collar,unknown,,yes,no,yes
528,66,unknown,single,basic_9y,yes,no,yes
529,69,blue-collar,single,,yes,unknown,yes
530,20,unknown,married,basic_9y,yes,yes,yes
531,44,admin,single,basic_9y,no,no,no
532,32,blue-collar,married,basic_4y,unknown,unknown,no
533,49,blue-collar,married,basic_4y,unknown,yes,yes
534,29,unknown,single,,yes,no,no
535,86,blue-collar,married,basic_4y,no,yes,no
536,49,unknown,single,basic_4y,unknown,no,unknown
537,45,unknown,married,,unknown,no,unknown
538,24,unknown,married,basic_9y,yes,unknown,no
539,37,admin,unknown,basic_4y,yes,unknown,no
540,57,admin,single,basic_9y,yes,yes,unknown
541,97,unknown,single,,yes,no,unknown
542,62,unemployed,married,basic_9y,no,no,unknown
543,45,unknown,unknown,basic_4y,yes,yes,yes
544,20,unemployed,single,basic_4y,no,unknown,unknown
545,58,blue-collar,married,basic_9y,no,unknown,unknown
546,66,admin,married,basic_9y,unknown,unknown,unknown
547,71,blue-collar,single,,no,no,unknown
548,82,unknown,unknown,,unknown,no,yes
549,38,blue-collar,single,basic_9y,yes,unknown,unknown
550,96,admin,unknown,basic_4y,no,yes,yes
551,82,admin,married,basic_4y,yes,unknown,unknown
552,21,admin,single,basic_9y,no,yes,no
553,39,blue-collar,unknown,basic_9y,no,no,no
554,46,unemployed,unknown,basic_4y,no,yes,no
555,25,unemployed,unknown,basic_9y,no,unknown,unknown
556,21,unemployed,single,,no,no,unknown
557,68,unemployed,single,basic_4y,yes,no,unknown
558,93,unknown,single,,yes,no,no
559,26,unemployed,single,,yes,yes,unknown
560,71,blue-collar,married,basic_4y,no,yes,unknown
561,85,unknown,single,basic_9y,unknown,no,no
562,98,unemployed,single,basic_9y,no,yes,yes
563,54,admin,unknown,basic_9y,yes,yes,unknown
564,49,blue-collar,single,basic_9y,unknown,no,yes
565,21,admin,unknown,,no,no,yes
566,23,unemployed,unknown,basic_4y,unknown,yes,unknown
567,53,unknown,single,basic_9y,yes,unknown,no
